"Profile Information","Profile Information"
"My Profile","My Profile"
"Store Name","Store Name"
"Address","Address"
"Country","Country"
"Store Logo","Store Logo"
"Store Banner","Store Banner"
"Twitter Id","Twitter Id"
"Facebook Id","Facebook Id"
"Theme","Theme"
"Bank Payment","Bank Payment"
"Paypal Id","Paypal Id"
"Description","Description"
"Meta Keyword","Meta Keyword"
"Meta Description","Meta Description"
"Required Fields","Required Fields"
"Save Profile","Save Profile"
"Manage product","Manage product"
"Connect with","Connect with"
"Twitter","Twitter"
"Facebook","Facebook"
"All Products","All Products"
"New Products","New Products"
"Popular Products","Popular Products"
"Stylist","Stylist"
"Stylist:","Stylist:"
"Click the button to become a merchant to sell your products in our website","Click the button to become a merchant to sell your products in our website"
"Stylists","Stylists"
"New Stylist","New Stylist"
"Registered Stylists","Registered Stylists"
"Create Stylist Account","Create Stylist Account"
"Id","Id"
"Product Name","Product Name"
"Market Place","Market Place"
"My Profile","My Profile"
"Orders","Orders"
"Buyer","Buyer"
"Process Payment via Bank/Paypal Account","Process Payment via Bank/Paypal Account"
"Total Amount Received","Total Amount Received"
"Amount Pending","Amount Pending"
"MARKET PLACE","MARKET PLACE"
"You have no product.","You have no product."
"You have no Order.","You have no Order."
"Add New Product","Add New Product"
"Total Amount Received","Total Amount Received"
"Amount Remaining","Amount Remaining"
"Product Details","Product Details"
"Product price","Product price"
"Earned Amount","Earned Amount"
"Order Grand Total","Order Grand Total"
"Add New Row","Add New Row"
"Add Image","Add Image"
"All Products","All Products"
"You must have a Stylist Account to access this page","You must have a Stylist Account to access this page"
"Admin Approval is required. Please wait until admin confirms your Stylist Account","Admin Approval is required. Please wait until admin confirms your Stylist Account"
"Your product is added successfully","Your product is added successfully"
"Please enter all required fields","Please enter all required fields"
"You don't have enough permission to edit this product details.","You don't have enough permission to edit this product details."
"Product Deleted Successfully","Product Deleted Successfully"
"Admin Approval is required for Stylist Account","Admin Approval is required for Stylist Account"
"An error occured while saving your data","An error occured while saving your data"
"Payment successful","Payment successful"
"Stylist Manager","Stylist Manager"
"Stylist News","Stylist News"
"Stylist details does not exist","Stylist details does not exist"
"Stylist approved successfully.","Stylist approved successfully."
"Stylist details not updated","Stylist details not updated"
"Please select at least one stylist","Please select at least one stylist"
"Stylist disapproved.","Stylist disapproved."
"Stylist successfully deleted","Stylist successfully deleted"
"Approve","Approve"
"Disapprove","Disapprove"
"Disapproved","Disapproved"
"Approved","Approved"
"Maximum 255 chars","Maximum 255 chars"
"Your profile information is saved successfully","Your profile information is saved successfully"
"Your product details are updated successfully.","Your product details are updated successfully."
"Are you sure want to delete?","Are you sure want to delete?"
"Images","Images"
"Manage Stylists","Manage Stylists"
"Disabled","Disabled"
"Click the button to become a Stylist","Click the button to become a Stylist"
"Turn in to a stylist today and enjoy some incredible benefits like adding logo to your profile page for better branding, setting up multiple products to improve conversions, etc.","Turn in to a stylist today and enjoy some incredible benefits like adding logo to your profile page for better branding, setting up multiple products to improve conversions, etc."
"Meta Title","Meta Title"
"Most Popular","Most Popular"
"Stylist Dashboard","Stylist Dashboard"
"Life Time Sales","Life Time Sales"
"Average Orders","Average Orders"
"Last Five Orders","Last Five Orders"
"Order Id","Order Id"
"Price","Price"
"Quantity","Quantity"
"Most Viewed Products","Most Viewed Products"
"No of Views","No of Views"
"Manage Products","Manage Products"
"Action","Action"
"Submit","Submit"
"S.NO","S.NO"
"Status","Status"
"Select a status","Select a status",
"Enabled","Enabled"
"Select a Status","Select a Status"
"Select a Range","Select a Range"
"Today","Today"
"Yesterday","Yesterday"
"Last Week","Last Week"
"Last Month","Last Month"
"Product Details","Product Details"
"Product price","Product price"
"Transaction Id","Transaction Id"
"Admin Commission","Admin Commission"
"Paid On","Paid On"
"Acknowledged on","Acknowledged on"
"Transaction History","Transaction History"
"Contact Number","Contact Number"
"Profile Image","Profile Image"
"Remove","Remove"
"Display your profile link in produt detail page","Display your profile link in produt detail page"
"Contact Admin","Contact Admin"
"Contact Information","Contact Information"
"Subject","Subject"
"Message","Message"
"Engage","Engage"
"Join us on facebook","Join us on facebook"
"Join us on twitter","Join us on twitter"
"Become a stylist","Become a stylist"
"Register as stylist","Register as stylist"
"Stylist dashboard","Stylist dashboard"
"Our stylists","Our stylists"
"View all","View all"
"Top Stylists","Top Stylists"
"Feedback Ratings","Feedback Ratings"
"Positive","Positive"
"Neutral","Neutral"
"Negative","Negative"
"5 Stars","5 Stars"
"4 Stars","4 Stars"
"3 Stars","3 Stars"
"2 Stars","2 Stars"
"1 Stars","1 Stars"
"Member since","Member since"
"Location","Location"
"Select One Category","Select One Category"
"Name","Name"
"Categories","Categories"
"Order Date:","Order Date:"
"Back to Orders","Back to Orders"
"Stylist Amount","Stylist Amount"
"Share with us","Share with us"
"Sales Report","Sales Report"
"No Transactions to Show","No Transactions to Show"
"View All","View All"
"All stylists","All stylists"
"There is no stylist(s) to show","There is no stylist(s) to show"
"Stylist login","Stylist login"
"Latest Arrivals","Latest Arrivals"
"Payment Status","Payment Status"
"Acknowledge","Acknowledge"
"Select an option","Select an option"
"Order Id #","Order Id #"
"Email to your Friend","Email to your Friend"
"item(s)","item(s)"
"Search for products...","Search for products..."
"Buy Now","Buy Now"
"Stylisthub","Stylisthub"
"Payments","Payments"
"Contact","Contact"
"#Products","#Products"
"Commission(%)","Commission(%)"
"Total Sales","Total Sales"
"Received","Received"
"Remaining","Remaining"
"Set Commission","Set Commission"
"Commission","Commission"
"Stylist detail","Stylist detail"
"Product details","Product details"
"Product Price","Product Price"
"Stylist's Earned Amount","Stylist's Earned Amount"
"Commission Fee","Commission Fee"
"Order At","Order At"
"Ack Status","Ack Status"
"Ack On","Ack On"
"Stylist ID","Stylist ID"
"Amount Received","Amount Received"
"Payment Mode","Payment Mode"
"Stylist Id","Stylist Id"
"Stylist Email","Stylist Email"
"Review ID","Review ID"
"Rating","Rating"
"Activate Stylisthub","Activate Stylisthub"
"Enter License Key","Enter License Key"
"Email ID","Email ID"
"Stylist Approval","Stylist Approval"
"Select Stylist Registration Email Template","Select Stylist Registration Email Template"
" Select Admin Approval Email Template "," Select Admin Approval Email Template "
"Select Admin Disapproval Email Template","Select Admin Disapproval Email Template"
"Select Contact Admin Email Template","Select Contact Admin Email Template"
"Sales Email Notification","Sales Email Notification"
"Select Sales Notification Email Template","Select Sales Notification Email Template"
"Display stylist profile link in product detail page","Display stylist profile link in product detail page"
"Display Popular Product in stylist profile page","Display Popular Product in stylist profile page"
"Display New Product in stylist profile page","Display New Product in stylist profile page "
"Display Category link in stylist profile page","Display Category link in stylist profile page"
"Product Configuration","Product Configuration"
"Stylist Configuration","Stylist Configuration"
"General Configuration","General Configuration"
"Product Auto Approval","Product Auto Approval" 
"Select Product Type(s)","Select Product Type(s)
"Product Custom Option","Product Custom Option"
"New Product Email Notification","New Product Email Notification"
"Select Email Template for New Product Added Notification","Select Email Template for New Product Added Notification"
"Select Email Template for New Product Approval Notification","Select Email Template for New Product Approval Notification"
"Product Enabled/Disabled Email Notification","Product Enabled/Disabled Email Notification"
"Select Email Template for Product Enabled Notification","Select Email Template for Product Enabled Notification"
"Stylist Review","Stylist Review"
"Enable Stylist Review","Enable Stylist Review"
"Select Email Template for New Review Notification","Select Email Template for New Review Notification"
"Select Email Template for Review Approval Notification","Select Email Template for Review Approval Notification"
"Product Auto Approval","Product Auto Approval"
"Need Admin Approval","Need Admin Approval"
"Stylist Registration Notification","Stylist Registration Notification"
"Admin Approval Notification","Admin Approval Notification"
"Admin Disapproval Notification","Admin Disapproval Notification"
"Sales Notification","Sales Notification"
"(Press Ctrl+Select to select multiple product types)","(Press Ctrl+Select to select multiple product types)"
"New Product Added Notification","New Product Added Notification"
"New Product Approval Notification","New Product Approval Notification"
"Product Enabled Notification","Product Enabled Notification"
"Product Disabled Notification","Product Disabled Notification"
"New Review Notification","New Review Notification"
"Review Approval Notification","Review Approval Notification"
"Enable Stylist Review in stylist profile page","Enable Stylist Review in stylist profile page"
"Go to System -> Configuration ->Store Email Addresses","Go to System -> Configuration ->Store Email Addresses"
"New Product Added Notification","New Product Added Notification"
"Simple","Simple"
"Virtual","Virtual"
"Downloadable","Downloadable"
"Select Email Template for Product Disabled Notification","Select Email Template for Product Disabled Notification"
"SMD","SMD",
"Rate and leave feedback for stylist store","Rate and leave feedback for stylist store"
"Feedback about stylist:","Feedback about stylist:"
"Rate Stylist:","Rate Stylist:"
"Reviews and Ratings of %s","Reviews and Ratings of %s"
"View all Reviews","View all Reviews"
"Share with Google+","Share with Google+"
"Share with Facebook","Share with Facebook"
"Review %s Store","Review %s Store"
"Write a Review to this Stylist","Write a Review to this Stylist"
"Have you bought something from this stylist?","Have you bought something from this stylist?"
"Login to Review","Login to Review"
"All Products","All Products"
"Credit","Credit"
"Reviewed On","Reviewed On"
"Shipping Address Not Applicable","Shipping Address Not Applicable"
"Shipping Method Not Applicable","Shipping Method Not Applicable"
"You have no items in your shopping cart.","You have no items in your shopping cart."
"Manage Deals","Manage Deals"
"Vacation Mode","Vacation Mode"
"My Vacation","My Vacation"
"Vacation Configuration","Vacation Configuration"
"Vacation Status","Vacation Status"
"Vacation Message","Vacation Message"
"Disable Products","Disable Products"
"From Date","From Date"
"To Date","To Date"
"YES","YES"
"NO","NO"
"Average Ratings","Average Ratings"
"SKU","SKU"
"Qty","Qty"
"Type","Type"
"Products of ","Products of "
"Customer Since","Customer Since"
"Email","Email"
"Products","Products"
"Reviews and Ratings","Reviews and Ratings"
"Configuration","Configuration"
"Comments","Comments"
"Reviewed On","Reviewed On"
"Product ID","Product ID"
"Review","Review"
"Customer ID","Customer ID"
"Enable Product Sold Count","Enable Product Sold Count"
"Allow stylist to set product as home page banner images","Allow stylist to set product as home page banner images"
"Select Cancel Order Notification Email Template","Select Cancel Order Notification Email Template"
"Cancel Order Email Notification","Cancel Order Email Notification"
"Enable Stylist Vacation Mode","Enable Stylist Vacation Mode"
"New Stylist Registration Email Template","New Stylist Registration Email Template"
"Need Admin Approval for Stylist Registration","Need Admin Approval for Stylist Registration"
"Enter Facebook page","Enter Facebook page"
"Enter Twitter page","Enter Twitter page"
"Enter Google page","Enter Google page"
""More than 10 available","More than 10 available"
"sold","sold"
"More stylists selling this product","More stylists selling this product"
"View all stylists","View all stylists"
"Stylist Information","Stylist Information"
"Product Information","Product Information"
"Minimum starting price is ","Minimum starting price is "
"Cart","Cart"
" Feedback"," Feedback"
" Feedbacks"," Feedbacks"
"Available Stylists ","Available Stylists "
"with minimum starting price is ","with minimum starting price is "
"Back to Product Information","Back to Product Information"
"Compare Price by assigning existing product[s]","Compare Price by assigning existing product[s]"
" based on "," based on "
" rating[s]"," rating[s]"
"Register as stylist ","Register as stylist "
"Become a stylist","Become a stylist"
"Account Dashboard","Account Dashboard"
"I agree the Terms and Condition","I agree the Terms and Condition"
"Terms and Condition","Terms and Condition"
"Stylist Reviews","Stylist Reviews"
"You have not review any stylist","You have not review any stylist"